Country,Language_Level,Business_Requirement,Tech_Requirement,Education_Requirement,Work_Culture_Score,Language_School_Count,Min_Study_Period,Avg_Cost_Monthly_USD,Work_Life_Balance,International_Friendly
Japan,N1,90,75,95,8.5,310,6,1200,6.5,7.0
Japan,N2,70,60,80,8.5,310,4,1200,6.5,7.0
Japan,N3,50,45,60,8.5,310,3,1200,6.5,7.0
Japan,N4,30,25,40,8.5,310,2,1200,6.5,7.0
Japan,N5,10,10,20,8.5,310,1,1200,6.5,7.0
Germany,C2,95,85,98,8.0,280,8,800,8.5,8.5
Germany,C1,80,70,90,8.0,280,6,800,8.5,8.5
Germany,B2,60,50,75,8.0,280,4,800,8.5,8.5
Germany,B1,40,35,50,8.0,280,3,800,8.5,8.5
Germany,A2,20,15,30,8.0,280,2,800,8.5,8.5
Germany,A1,10,5,15,8.0,280,1,800,8.5,8.5
UK,IELTS 8-9,90,85,95,7.5,200,3,1000,7.5,9.0
UK,IELTS 7-7.5,75,70,85,7.5,200,2,1000,7.5,9.0
UK,IELTS 6-6.5,60,55,70,7.5,200,1.5,1000,7.5,9.0
Canada,IELTS 8-9,90,85,95,8.0,180,3,900,8.0,9.5
Canada,IELTS 7-7.5,75,70,85,8.0,180,2,900,8.0,9.5
Canada,IELTS 6-6.5,60,55,70,8.0,180,1.5,900,8.0,9.5 
